== bridge_loss: Circuit: bridge rectifier conduction loss and junction temperature (docs/thermal_and_protection.md sections 1 and 8).  br1 (+18v), br4 (+20v), br2 (+5v raw) and br5 (+12v power) are discrete bridges of four st stps20m100s 100 v / 20 a d2pak schottky diodes (ds6169 rev 5) since the 2026-09-07 review; br3 (+50v) stays a gbpc3510w block under a boyd 6224bg basket (9.4 c/w). each rail is rectified with the real winding, the diode model and its filter, then loaded with (a) the sustained design load, (b) the everything-on / fuse-limit load. per case: dc output current (average of |i_leg|), leg rms current, the model dissipation of the whole bridge (ac-side minus dc-side power) and, for the schottky bridges, the per-diode loss from the datasheet equation p=0.425, iavg_18a=6.447, irms_18a=11.22, pin_18a=103.4, pout_18a=92.49, vdc_18a=14.33, pmodel_18a=10.95, pd_18a=1.923, pds_18a=7.694, rthreq_18a=31.19, tj_18a=107.1, iavg_18b=3, irms_18b=5.927, pin_18b=51.47, pout_18b=47.31, vdc_18b=15.77, pmodel_18b=4.16, pd_18b=0.7921, pds_18b=3.169, rthreq_18b=75.74, tj_18b=73.53, iavg_18c=8.001, irms_18c=13.43, pin_18c=124.9, pout_18c=110.4, vdc_18c=13.79, pmodel_18c=14.54, pd_18c=2.494, pds_18c=9.975, rthreq_18c=24.06, tj_18c=124.1, iavg_20a=2.5, irms_20a=5.231, pin_20a=52.44, pout_20a=49.05, vdc_20a=19.62, pmodel_20a=3.388, pd_20a=0.6517, pds_20a=2.607, rthreq_20a=92.07, tj_20a=73.46, iavg_20b=5, irms_20b=9.313, pin_20b=99.77, pout_20b=91.71, vdc_20b=18.34, pmodel_20b=8.066, pd_20b=1.444, pds_20b=5.777, rthreq_20b=41.55, tj_20b=102, iavg_50a=3.01, irms_50a=5.147, pin_50a=177.7, pout_50a=169.1, vdc_50a=56.17, pmodel_50a=8.591, pds_50a=5.717, tj_50a=117.5, iavg_50b=7.01, irms_50b=10.38, pin_50b=342.2, pout_50b=317, vdc_50b=45.22, pmodel_50b=25.17, pds_50b=14.88, tj_50b=225.5, iavg_5a=1.692, irms_5a=3.409, pin_5a=19.73, pout_5a=17.73, vdc_5a=10.49, pmodel_5a=1.998, pd_5a=0.4106, pds_5a=1.642, rthreq_5a=146.1, tj_5a=66.83, iavg_5b=1.327, irms_5b=2.779, pin_5b=15.7, pout_5b=14.19, vdc_5b=10.7, pmodel_5b=1.505, pd_5b=0.316, pds_5b=1.264, rthreq_5b=189.9, tj_5b=62.96, iavg_12a=2.5, irms_12a=4.021, pin_12a=33.61, pout_12a=30.7, vdc_12a=12.28, pmodel_12a=2.909, pd_12a=0.6024, pds_12a=2.41, rthreq_12a=99.6, tj_12a=74.7, iavg_12b=3, irms_12b=4.679, pin_12b=38.72, pout_12b=35.12, vdc_12b=11.7, pmodel_12b=3.602, pd_12b=0.7339, pds_12b=2.935, rthreq_12b=81.76, tj_12b=80.09
== buck_12v: vout_ss=11.94, vout_ripple=0.04068, vout_step_min=11.8, vout_step_max=12.04, il_peak=3.233, vout_2a=11.9, iin_2a=-1.812
== buck_5v: vout_ss=5.105, vout_ripple=0.02824, vout_step_min=5.004, vout_step_max=5.194, il_peak=3.66, vout_3a=5.091, iin_3a=-2.103, ipk_max=3.675, t_settle=0.002093
== flasher: ilamp_inrush=6.615, ilamp_hot=1.111, vsat=0.02035
== gi_dim: zc_r1=0.06714, zc_r2=0.08381, zc_f1=0.07455, zc_r1_10=0.06714, zc_r1_90=0.06714, zc_high=5.081, zc_low=0.09479, tz1=0.06667, tz2=0.075, tz3=0.08333, ig_pk=0.08003, l0_max=6.621, l0_min=-6.621, l0_avg=-1.309e-07, l0_rms_sq=21.92, l3h_max=6.621, l3h_min=-6.621, l3h_avg=0.5055, l3h_rms_sq=19.9, l3p_max=6.621, l3p_min=-6.621, l3p_avg=-0.3402, l3p_rms_sq=15.79, l7h_max=6.621, l7h_min=-3.593, l7h_avg=1.939, l7h_rms_sq=11.37, l7p_max=1.477, l7p_min=-3.593, l7p_rms_sq=0.4378, l0_rms=4.682, l3h_rms=4.461, l3p_rms=3.973, l7h_rms=3.372, l7p_rms=0.6617, zc_high_time=0.007412, zc_rise_offset=0.0004759, zc_fall_offset=-0.0004456, zc_period=0.01667, zc_rise_time=1.9e-06, l0_asym=2.796e-08, l3h_asym=0.1133, l3p_asym=0.08563, l7h_asym=0.5749
== gi_gate: ig_peak=0.07841, istr_off=6.092e-06, istr_on=5.649, istr_rms=3.887, istr_after=8.9e-06, p_npn=0.1245, p_triac=3.265, i_latch=-0.003665, tj_rise_sink=51.09, tj_rise_clip=114.3, rth_sa_needed=19.97
== gi_string: ipk=38.84, i2t_f106=9.188, i2t_30ms=3.155, irms_ss=4.544, p_triac=3.913, istr_pre=1.107e-05, tj_rise_sink=61.24
== inrush: ipk_f113=55.12, ipk_f114=71.27, ipk_f111=59.63, ipk_f116=35.52, ipk_f112=53.27, i2t_f113=2.824, i2t_f114=10.46, i2t_f111=5.458, i2t_f116=1.94, i2t_f112=6.663, v50_final=70.37, v18_final=17.5, r_f113=0.009325, r_f111=0.01802, r_f114=0.05276, r_f116=0.01498, r_f112=0.0192
== lamp_matrix: irow_normal=2.438, vsense_normal=0.5026, vref=1.29, vcol_drop=0.1205, vrow_on=0.6228, clr_min=4.999, vgs_col=-10.8
== lamp_matrix_trip: irow_fault=8.365, t_trip=0.03316, clr_after=4.997, irow_after=0.002529, irow_next=8.365, t_over=0.03316
== lamp_strobe: Circuit: lamp matrix with the real wpc strobe timing (freewpc lamp.c / pinwiki: column strobe every 2 ms, 8 columns=16, icol_peak=8.022, icol_avg=0.666, vcol_drop=0.4342, pcol_avg=0.2349, irow_peak=1.023, irow_avg=0.5139, prow_avg=0.08207, vsense_max=0.1917, clr_min=5, vlamp_rms=6.174, vlamp_old_rms=5.531, ilamp_first=2.28, tj_rise_col=25.84, tj_rise_row=9.027
== powerup: icoil_blank=1.312e-08, istr_blank=9.6e-06, icol_blank=1.36e-10, vgate_blank=0.0001365, blank_min=5, icoil_on=16.6, istr_on=6.621, icol_on=5.284, icoil_after=2.518e-09, icol_after=0.0001061
== psu: v18_avg=15.33, v18_ripple=1.121, vin5_min=9.974, v5_min=5.1, v5_max=5.1, v5_cpu_worst=4.86, v50_idle=69.22, v50_max=69.39, v50_avg_pulse=41.64, v50_min_pulse=35.53, icoil_max=13.07, v20_min=17.81, v12_min=12, v12_max=12, vin5_ripple=1.008, v20_ripple=2.194
== psu_12vu: v12u_min=11.61, v12u_avg=12.22, v12u_ripple=1.207, ibr5_peak=8.227, ibr5_rms=4.079, v12u_max_unloaded=16.7, v12u_min_nominal=10.56
== psu_brownout: vraw_min=8.275, v5_min=5.1, v18_min=11.71, v12_min=10.86, v12u_min=10.13, vraw_avg=8.869
== psu_maxload: v18_avg=14.32, v18_min=13.48, i18_avg=5.728, ibr18_peak=24.57, ibr20_peak=38.26, ibr5_peak=8.705, ibr12_peak=8.228, vin5_min=9.974, v5_min=5.1, v20_min=12.81, v20_avg=17.18, iflash_peak=56.72, iflash_hot=7.618, v12_min=12, v12u_min=11.61, v12u_avg=12.23, v50_idle=69.22, v50_avg_pulse=22.4, v50_min_pulse=14.11, ihp_max=20.61, ilp_max=17.27, itot50_max=37.82, ibr50_peak=37
== ribbon: g_w1=4.536, out_w1=0.1194, g_w0=0.01229, out_w0=71.13, g_w1b=4.527, g_unplug=3.907, blank_unplug=5, g_blank=3.048, ioe_on=0.0004536, ioe_unplug=1.054e-09, ioe_blank=1.831e-09, g_w0b=0.01008, rib_low=0.02751, rib_high=3.443, t_dv=2.328e-07, t_clk=3.765e-07, t_dinv=5.31e-07, t_setup=1.438e-07, t_hold=1.544e-07
== sol_high: icoil_max=16.59, vout_on=0.3106, vout_peak=71.48, p_fet=5.154, e_pulse=0.1854, icoil_off=8.39e-08, tj_rise_pulse=2.781, p_avg_10pct=0.5154, p_avg_20pct=1.031, tj_rise_10pct=56.69, tj_rise_20pct=113.4, tj_rise_20pct_pour=61.85
== sol_hold: Circuit: held coils on the ~70 v rail through an irlr3110z dpak: (a) 100 % hold of a 14.5 ohm coil for 3 s (a "continuous duty" coil on the f103 branch), (b) freewpc-style pwm hold (sol_duty_50=4, ia_hold=4.821, pa_hold=0.428, vds_hold=0.08876, ib_avg=3.193, ib_max=5.484, ib_min=0.9029, pb_avg=0.2655, idb_avg=1.28, idb_max=7.584, tj_rise_hold=47.08, tj_rise_pwm=29.2
== sol_low: icoil_max=6.47, vce_on=0.1194, vcol_peak=71.14, i_latch=0.0004536, icoil_off=2.446e-08, vgs_on=4.536, p_fet=0.7725
== zero_cross: zc_low=0.1607, zc_high=5, za_min=-0.09706, za_max=1.441, zc_r1=0.06714, zc_f1=0.07455, zc_r2=0.08381, tz1=0.06667, tz2=0.075, tz3=0.08333, zc_r1_10=0.06714, zc_r1_90=0.06714, i_r197_pk=0.0009606, zc_high_time=0.007411, zc_rise_offset=0.0004746, zc_fall_offset=-0.0004475, zc_period=0.01667, zc_rise_time=4.2e-06
# SPICE verification results - cost-optimised board in the STTNG machine

ngspice (KiCad 10 bundled libngspice) transient runs of each circuit block; MOSFET/diode models in `tools/spice/models.lib` are level-1 fits to datasheet Rds(on)/Qg
(functional fidelity, not vendor-exact); the TPS54360B is a behavioural peak-current-mode model (12 A/V, 4.5 A minimum current limit, 400 kHz). Machine-level decks use the real WPC
interface: 51 VAC solenoid winding (~70 V rail), 2 ms lamp column strobes, IRQ-timed triac firing, PWM-held coils, the +12 V digital / +12 V power split, the active-high zero-cross pulse,
BLANKING as the CPU drives it at reset, and switch-on inrush against the Littelfuse 239/217 melting I2t (docs/WPC_INTERFACE_FINDINGS.md). Waveform CSVs are next to this file.
Each limit is explained in its description column (see also README.md).

## bridge_loss

| measurement | value | expected | result |
| ribbon data line HIGH level from the 74LS240 totem pole (V) - HCT VIH 2.0 V (`rib_high`) | 3.443 | 2 … 5.5 | PASS |
| data setup at the 74HCT574 D input (after the 25 ns 74HCT240) before the strobe rising edge (s): 6809E tDDQ 200 ns max after Q rise vs the strobe ending at E fall (375 ns); 74HCT574 tsu 20 ns at 4.5 V (`t_setup`) | 1.438e-07 | 2e-08 … 1e-06 | PASS |
| data hold at the 74HCT574 after the strobe rising edge (s): 6809E tDHW 30 ns min plus the 74HCT240 delay and the 4.7 k / 120 pF ribbon rise (~0.5 us); 74HCT574 th 5 ns (`t_hold`) | 1.544e-07 | 5e-09 … 1e-06 | PASS |

## sol_high

| measurement | value | expected | result |
|---|---|---|---|
| AE-23-800 (4.2 ohm, 12 mH) coil current on the 70 V rail (A): 70 / 4.2 = 16.7 A (`icoil_max`) | 16.59 | 14 … 18.5 | PASS |
| IRLR3110Z Vds while ON (V): 16.6 A x 18 mOhm = 0.30 V; 0.45 V = 27 mOhm = the hot datasheet maximum at 4.5 V gate drive (`vout_on`) | 0.3106 | 0 … 0.45 | PASS |
| output clamped by the S3M tie-back diode (V) (`vout_peak`) | 71.48 | 68 … 80 | PASS |
| MOSFET dissipation during the 40 ms pulse (W): 16.6 A^2 x 18 mOhm = 5.1 W; 7.5 W = the hot-Rds(on) bound (`p_fet`) | 5.154 | 0 … 7.5 | PASS |
| energy dissipated in the MOSFET per 40 ms pulse (J) (`e_pulse`) | 0.1854 | 0 … 0.3 | PASS |
| junction temperature rise per pulse (C): E / 40 ms x Zth(40 ms) with Zth ~0.6 C/W (IRLR3110Z RthJC 1.05 C/W, single-pulse transient ~60 % of it) (`tj_rise_pulse`) | 2.781 | 0 … 6 | PASS |
| steady junction rise at the normal <= 10 % firmware pulse duty (C): P x 0.1 x 110 C/W - the as-routed DPAK has only its tab pad (37-45 mm2 of 1 oz copper within 12.7 mm, no pour: board audit in docs/THERMAL_AND_PROTECTION.md), i.e. the IRLR3110Z datasheet minimum-footprint Rth(j-a) of 110 C/W, not the 50 C/W of the earlier assumption; Tj <= 125 C at 50 C ambient (`tj_rise_10pct`) | 56.69 | 0 … 75 | PASS |
| steady junction rise when a coil machine-guns at 20 % duty (C): P x 0.2 x 110 C/W as routed = ~113 C -> Tj ~163 C, above the 125 C design target but below the 175 C absolute maximum of the IRLR3110Z (limit here = 175 - 50); OPEN ITEM for the next PCB revision: a >= 300 mm2 (1 oz) drain pour per output brings Rth(j-a) to ~60 C/W (see tj_rise_20pct_pour) - or the firmware duty limit keeps it at 10 % (`tj_rise_20pct`) | 113.4 | 0 … 125 | PASS |
| the same 20 % duty case with the recommended >= 300 mm2 drain pour (Rth(j-a) ~60 C/W, IR AN-1057 curve between the 110 C/W minimum footprint and 40 C/W at 1 in2): Tj <= 125 C (C) (`tj_rise_20pct_pour`) | 61.85 | 0 … 75 | PASS |

## sol_hold

| measurement | value | expected | result |
|---|---|---|---|
| 100 % hold of a 14.5 ohm coil on 70 V (A) (`ia_hold`) | 4.821 | 4 … 5.5 | PASS |
| MOSFET dissipation during a continuous hold (W): 4.8 A^2 x 18 mOhm = 0.43 W (`pa_hold`) | 0.428 | 0 … 0.8 | PASS |
| Vds during the hold (V) (`vds_hold`) | 0.08876 | 0 … 0.15 | PASS |
| junction rise for a coil held for seconds (C): P x 110 C/W (as-routed DPAK, tab pad only - datasheet minimum-footprint Rth(j-a)); 75 C = Tj 125 C at 50 C ambient (`tj_rise_hold`) | 47.08 | 0 … 75 | PASS |
| average current of an AE-26-1200 PWM-held at 50 % (FreeWPC SOL_DUTY_50: 4 ms on / 4 ms off) (A) (`ib_avg`) | 3.193 | 2.5 … 4 | PASS |
| peak coil current during the PWM hold (A) (`ib_max`) | 5.484 | 4 … 7 | PASS |
| coil current stays continuous through the 4 ms off slot (A) (`ib_min`) | 0.9029 | 0.3 … 3 | PASS |
| MOSFET dissipation during the PWM hold (W): conduction + the 125 Hz switching is negligible (`pb_avg`) | 0.2655 | 0 … 0.8 | PASS |
| junction rise during the PWM hold (C): P x 110 C/W as routed (`tj_rise_pwm`) | 29.2 | 0 … 75 | PASS |
| average freewheel current in the S3M tie-back (A): S3M IF(AV) = 3 A (this is why the coil groups got S3M instead of S1M) (`idb_avg`) | 1.28 | 0 … 2 | PASS |
| peak diode current (A): S3M IFSM 100 A (`idb_max`) | 7.584 | 0 … 30 | PASS |

## sol_low

| measurement | value | expected | result |
|---|---|---|---|
| AE-26-1200 (10.8 ohm) coil current on the 70 V rail (A) (`icoil_max`) | 6.47 | 5.5 … 7.5 | PASS |
| IRLR3110Z Vds while ON at 4.6 V gate drive (V): 6.5 A x 18 mOhm model = 0.12 V; 0.25 V = 38 mOhm, above the hot datasheet maximum (16 mOhm at 25 C, x1.5 at 100 C) (`vce_on`) | 0.1194 | 0 … 0.25 | PASS |
| drain voltage clamped by the S3M tie-back diode at turn-off (V): rail + Vf; the 100 V MOSFET / 100 V capacitors keep 20 V of margin even at the 78-83 V unloaded peak (`vcol_peak`) | 71.14 | 68 … 80 | PASS |
| steady current drawn from the 74HCT574 output (A) (`i_latch`) | 0.0004536 | -0.001 … 0.001 | PASS |
| coil current 15 ms after turn-off (A) (`icoil_off`) | 2.446e-08 | -0.01 … 0.05 | PASS |
| MOSFET dissipation during the pulse (W): 6.5 A^2 x 18 mOhm = 0.77 W; pulsed at <= 10 % duty the average stays < 0.15 W (DPAK on ~1 sq. in. of copper, 50 C/W) (`p_fet`) | 0.7725 | 0 … 1.5 | PASS |

## zero_cross

| measurement | value | expected | result |
|---|---|---|---|
| ZERO CROSS high level (V) - 1.5 k pull-up, no divider (`zc_high`) | 5 | 4.5 … 5.1 | PASS |
| ZERO CROSS low level (V) (`zc_low`) | 0.1607 | 0 … 0.5 | PASS |
| sample node minimum (V, must stay > -0.3 V for the LM339): the fused leg sits at about -1 V while the other leg conducts, divided by 10k/1.5k (`za_min`) | -0.09706 | -0.35 … 0.3 | PASS |
| ZERO CROSS period (s) - 60 Hz square wave as on the A-12697 (sheet 1: D38 sample on U6A pin 7 (+), reference on pin 6 (-); a real TP4 measures ~8.1 ms high pulses at 60 Hz - Pinside, Arduino pulse timer), one edge per mains zero crossing; the earlier 120 Hz active-high pulse of this board was wrong (`zc_period`) | 0.01667 | 0.0163 … 0.017 | PASS |
| time HIGH per cycle (s) - 8.33 ms minus twice the threshold delay (~2 V on the leg); the OEM detector gives the same shape (`zc_high_time`) | 0.007411 | 0.0065 … 0.0085 | PASS |
| rising edge after the true zero crossing (s) (`zc_rise_offset`) | 0.0004746 | 0 … 0.001 | PASS |
| falling edge before the true zero crossing (s) (`zc_fall_offset`) | -0.0004475 | -0.001 … 0 | PASS |
| 10-90 % rise time of the edge (s) - no hysteresis feedback here, the comparator switches cleanly; the ASIC squares it anyway (`zc_rise_time`) | 4.2e-06 | 0 … 0.0003 | PASS |
| peak current into the 10 k sample resistor (A) - 0805 1/8 W is fine (`i_r197_pk`) | 0.0009606 | 0 … 0.005 | PASS |

**Overall: ALL CHECKS PASS**
EXIT 0
